Designator,Mid X,Mid Y,Layer,Rotation
BOOT1,127.6088,-100.4356,top,90
C1,106.8936,-120.418,top,-90
C2,101.6612,-120.4434,top,-90
C3,119.6844,-114.6295,top,-90
C4,117.741,-114.4161,top,-90
C5,103.5704,-74.8392,top,180
C6,103.7708,-76.7442,top,180
C7,103.965,-95.74,top,180
C8,145.8334,-96.8962,top,180
C9,145.4648,-102.408,top,-90
C10,147.446,-99.7258,top,90
C11,118,-97.3,top,0
C12,117.975,-94.6,top,0
C13,97.56,-79.64,top,0
C14,93.738,-78.278,top,0
C15,93.1278,-82.3674,top,0
C16,93.343,-84.12,top,0
C17,96.14,-90,top,0
C18,93.9152,-91.7146,top,0
C19,93.4586,-96.3628,top,0
C20,93.6752,-98.0646,top,0
C21,105.0902,-120.2014,top,-90
C22,103.4392,-120.2014,top,-90
C23,93.025,-75.2,top,0
C24,89.38,-87.52,top,180
C25,83.035,-73.62,top,0
C26,76.63,-78.995,top,-90
C27,77.635,-92.28,top,90
C28,84.455,-98.28,top,0
C29,130.365,-79.01,top,0
D1,86.6706,-78.9678,top,-90
D2,87.0956,-92.8068,top,-90
D3,113.87,-115.743,top,-90
D4,98.1954,-120.2387,top,-90
J1,115.15,-122.32,top,0
Q1,110.6,-105.2,top,0
Q2,121.45,-105.1,top,180
R1,121.3476,-109.5901,top,180
R2,121.3476,-111.3427,top,180
R3,121.3476,-107.8121,top,0
R4,104.4184,-106.1926,top,180
R5,126.5672,-106.1418,top,-90
R6,116.0638,-106.1114,top,180
R8,116.0516,-104.4096,top,0
R25,99.8718,-120.2256,top,-90
R26,111.6,-96.325,top,90
R27,108.4,-97.125,top,90
RESET1,104.7488,-100.7404,top,-90
U1,115.17,-83.65,top,0
U2,116.1738,-110.2068,top,90
U3,114.85,-96.3625,top,-90
U4,145.06475,-98.78215,top,90
U11,102.6658,-114.1682,top,-90
